"id","numero_expediente","titulo","tipo_expediente","fecha_inicio","vencimiento_cuatrienal","fecha_publicacion","numero_gaceta","numero_ley","creado_en"
"586","25016","ADICIÓN DE TRES PARRAFOS FINALES AL ARTÍCULO 1 DE LA LEY N°6280 DEL 25 DE OCTUBRE DE 1978, LEY DE CREACIÓN DEL PARQUE NACIONAL BRAULIO CARRILLO","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-05-29","2029-05-29","2025-06-20","113","","2026-04-10T15:33:40.043913"
"587","25015","DONACIÓN DE UN TERRENO PROPIEDAD DEL BANCO DE COSTA RICA A LA MUNICIPALIDAD DEL CANTÓN DE NARANJO CON FINALIDAD DE CONSERVACIÓN DE LA BIODIVERSIDAD, LA INVESTIGACIÓN Y LA EDUCACIÓN AMBIENTAL","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-05-29","2029-05-29","2025-06-13","108","","2026-04-10T15:33:40.043913"
"588","25014","LEY MARCO SOBRE CAPTURA Y COMERCIALIZACIÓN DE CARBONO AZUL EN ECOSISTEMAS MARINOS ELIZABETH ODIO BENITO","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-05-29","2029-05-29","2025-06-13","108","","2026-04-10T15:33:40.043913"
"589","25013","PROTECCIÓN Y RESTAURACIÓN DE ARRECIFES CORALINOS ROCOSOS Y PASTOS MARINOS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-05-29","2029-05-29","2025-06-17","110","","2026-04-10T15:33:40.043913"
"590","25012","PREVENCIÓN DEL USO INDEBIDO DE COMBUSTIBLE DESTINADO A LA PESCA NO DEPORTIVA MEDIANTE LA DIGITALIZACIÓN DE LOS CONTROLES DE DISTRIBUCIÓN Y CONSUMO","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-05-29","2029-05-29","2025-06-12","107","","2026-04-10T15:33:40.043913"
"591","25011","PERMISO DE ATRAQUE, DESEMBARQUE Y PERMANENCIA EN PUERTO DE LA TRIPULACIÓN DE LA FRAGATA A.R.A. LIBERTAD, BUQUE ESCUELA DE LA ARMADA ARGENTINA, NO ARTILLADO, QUE PERMANECERÁ EN EL PUERTO DE LIMÓN DURANTE EL PERÍODO COMPRENDIDO ENTRE EL 21 AL 24 DE SETIEMBRE DE 2025.","PROCEDIMIENTO SOLICITUDES DE ATRAQUE Y DESEMBARQUE","2025-05-28","2029-05-28","","","","2026-04-10T15:33:40.043913"
"592","25010","INVESTIGACIÓN SOBRE LA CAPACIDAD DEL PANI PARA GARANTIZAR DERECHOS DE LA NIÑEZ Y ADOLESCENCIA","PROCEDIMIENTO COMISIONES ESPECIALES INVESTIGADORAS","2025-05-27","2029-05-27","","","","2026-04-10T15:33:40.043913"
"593","25009","REFORMA AL ARTÍCULO 86 DEL REGLAMENTO INTERNO DE LA ASAMBLEA LEGISLATIVA","PROCEDIMIENTO REFORMAS AL REGLAMENTO DE LA ASAMBLEA LEGISLATIVA","2025-05-27","2029-05-27","2025-06-11","106","","2026-04-10T15:33:40.043913"
"595","25007","LEY PARA LA MODERNIZACIÓN DEL RÉGIMEN CAMBIARIO: DEROGATORIA DEL ARTÍCULO 97 DE LA LEY Nº7558, DEL 27 DE NOVIEMBRE DE 1995, LEY ORGÁNICA DEL BANCO CENTRAL DE COSTA RICA Y SUS REFORMAS","PROCEDIMIENTO PROYECTO DE LEY ORDINARIO","2025-05-26","2029-05-26","2025-06-11","106","","2026-04-10T15:33:40.043913"
"596","25006","LEVANTAMIENTO DE INMUNIDAD CONTRA EL SEÑOR ALEXANDER BARRANTES CHACÓN POR EL DELITO DE COHECHO IMPROPIO EN LA MODALIDAD DE PENALIDAD DEL CORRUPTOR.","PROCEDIMIENTO QUERELLAS DE LOS MIEMBROS DE LOS SUPREMOS PODERES","2025-05-26","2029-05-26","","","","2026-04-10T15:33:40.043913"
"597","25005","EVALUACIÓN E INVESTIGACIÓN DE LAS INVERSIONES Y EL IMPACTO DE LA IMPLEMENTACIÓN DEL SISTEMA LOGÍSTICO DE PEDIDOS EN EL PROGRAMA DE ABASTECIMIENTO INSTITUCIONAL DEL CONSEJO NACIONAL DE PRODUCCIÓN (CNP) POR PARTE DE RADIOGRÁFICA COSTARRICENSE (RACSA).","PROCEDIMIENTO COMISIONES ESPECIALES INVESTIGADORAS","2025-05-26","2029-05-26","","","","2026-04-10T15:33:40.043913"
