"id","proyecto_id","organo","fecha_inicio","fecha_termino","tipo_tramite"
"10162","1043","DISCAPACIDAD (ÁREA VII)","2025-04-02","2025-04-02","VOTACIÓN (COMISIÓN)"
"10163","1043","DISCAPACIDAD (ÁREA VII)","2025-03-19","2025-04-02","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10164","1043","DISCAPACIDAD (ÁREA VII)","2025-03-12","2025-03-12","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10165","1043","C.E. ALAJUELA (ÁREA II)","2025-03-12","2025-03-12","TRASLADO DE COMISIÓN (COMISION)"
"10166","1043","C.E. ALAJUELA (ÁREA II)","2024-11-26","2024-11-26","RECEPCIÓN DEL PROYECTO (C.E.D.)"
"10167","1043","C.E. ALAJUELA (ÁREA II)","2024-11-25","2024-11-25","TRASLADO DE COMISIÓN (COMISION)"
"10168","1043","C.E. ALAJUELA (ÁREA II)","2024-10-07","2024-10-07","RECEPCIÓN DEL PROYECTO (C.E.D.)"
"10169","1043","ARCHIVO","2024-10-07","2024-10-07","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10170","1043","ARCHIVO","2024-10-01","2024-10-01","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10171","1043","ARCHIVO","2024-09-27","2024-09-27","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10172","1043","PLENARIO","2024-09-26","2024-09-26","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10173","1043","PLENARIO","2024-09-19","2024-09-19","PRESENTACIÓN DEL PROYECTO DE LEY"
"10174","1044","C.E. ALAJUELA (ÁREA II)","2024-11-26","2024-11-26","RECEPCIÓN DEL PROYECTO (C.E.D.)"
"10175","1044","ARCHIVO","2024-11-26","2024-11-26","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10176","1044","C.E. ALAJUELA (ÁREA II)","2024-11-25","2024-11-25","TRASLADO DE COMISIÓN (COMISION)"
"10177","1044","C.E. ALAJUELA (ÁREA II)","2024-10-08","2024-10-08","RECEPCIÓN DEL PROYECTO (C.E.D.)"
"10178","1044","ARCHIVO","2024-10-08","2024-10-08","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10179","1044","ARCHIVO","2024-10-01","2024-10-01","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10180","1044","ARCHIVO","2024-09-27","2024-09-27","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10181","1044","PLENARIO","2024-09-26","2024-09-26","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10182","1044","PLENARIO","2024-09-18","2024-09-18","PRESENTACIÓN DEL PROYECTO DE LEY"
"10183","1045","DISCAPACIDAD (ÁREA VII)","2025-02-12","","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10184","1045","DISCAPACIDAD (ÁREA VII)","2024-11-18","2024-11-18","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10185","1045","DISCAPACIDAD (ÁREA VII)","2024-11-18","2024-11-18","TRASLADO DE COMISIÓN (COMISION)"
